word,segmentation,related_words
jamb,jamb,limb; gambol; jamboree; oree
sill,,chassis
shutter,shutter,shut; shuttle
podium,pod.ium,lectern
respire,re.spire,vt.vi; re.sp; aspire; perspire; spire
aspire,,aspiration; conspiracy; conspirator
spire,spire,aspire
pylon,,gateway
kiosk,,
arboretum,arbor.etum,arbour; botany; arbor
arbour,,arbor.etum; bower; botany
bower,bow.er,bowl.er; cricket; arbor
lido,,littoral
bleacher,,bleach
lounge,l.oun.ge,r.oun.d; c.oun.t; long; couch; lobby
foyer,,
garret,,guard
gallery,,galley
apothecary,apo.the.cary,cary
boutique,bou.ti.que,bou.quet; boud.oir
boudoir,boud.oir,boutique
lavatory,lava.tory,lava
conservatory,con.serv.atory,indian; reservation; conservative
haven,haven,heaven; harbour
sanatorium,san.ator.ium,ator.ium; mor.ator.ium; crem.ator.ium
penitent,pen.it.ent,pen.it; ent.iary; penance
penitentiary,peni.tent.iary,penitent
igloo,,
lodge,lodge,dodge
shanty,shanty,shant; chant; shabby
noose,,nose
paling,pal.ing,pali.sade; pale; pail; stockade
pale,pale,paling; beyond
stockade,,bar.ri.cade; paling; palisade
stake,stake,stock
plinth,,
buttress,but.tress,actress
thatch,Thatch,Thatcher
frieze,,freeze
rafter,,raft; rift
banister,ban.ist.er,guard.rail
girder,girder,girdle
beam,,
conceal,con.ceal,re.veal; seal
eligible,e.lig.ible,
cashmere,,Kashmir
Kashmiri,kash.miri,cashmere; kashmir
thyroid,,your; thigh
intelligent,intell.ig.ent,intellect
illicit,,
compliance,com.pli.ance,com.pli.ment; com.plais.ance; ap.pli.ance; com.ply; ap.ply; obei.sance; defer.ence
hump,hump,lump
niece,,nephew
arithmetic,,mathematics; matics
logarithm,log.arithm,arithm.etic; rithm
drawn,drawn,drown
fry,,
nephew,,niece
splinter,splint.er,lint; sprinkle; offshoot; splint
foil,foil,toil; boil
dross,dross,dress; drudge; slag
scum,scum,skim; scumbag; scrotum
silt,silt,salt; silk; slit
slag,slag,slug; slog; snag; dross
soot,,
cinder,cinder,cinder.ella; ella
verdigris,ver.dig.ris,dig.ris; Tigris
patina,pati.na,
fascist,,
fascine,,fascist; fascia
scrap,scrap,scrape; scalp; crap
detritus,de.trit.us,de.tri.ment; trite; humus
debris,,rubble
relic,,relinquish
remnant,,remainder; oddments; scrap
litter,,little; liter; pint
refuse,re.fuse,re.fute
vestige,vesti.ge,in.vesti.gate; vest; residue
oddments,,remnants
yoke,yoke,yolk; yelk; yokel
goad,,gold; goat; gadfly
harness,harness,bridle
bride,bride,bribe; bridle
bridle,brid.le,bride; bird
chunk,chunk,hunk; shameless; trunk; chock; chuck
sliver,sliver,silver; debris; shard; shred
shard,,sharp; chard; splinter
chuck,,truck; chunk; chock; choke; shuck
fiat,fiat,decree; ordinance
edict,e.dict,dict; dictum
decree,decree,creed; fiat; ordinance
statute,,statue
ordinance,ordin.ance,ordin.ation; ord.nance; order; decree; fiat
perverse,per.verse,per.vert; adamant; steadfast; children; without; blemish; midst; crooked; generation; verse
rebuke,re.buke,re.bate; puke; buike
consequential,,
predilection,,
huckster,huck.ster,huck; ster; peddler; huckleback; huckleberry; hunker; hawker; hustle
hawker,hawk.er,huckster; hawk
cantata,cantata,ora.tor.io; orchestra; choir
sonata,,
consonant,con.son.ant,re.son.ant
consolidation,con.solid.ation,solid.ar.ity; ation; consolidate; solidate
lurk,,lurch
brittle,bri.ttle,li.ttle; bri.tish; bri.stle; brisk
run-up,,walk
unrivalled,un.rivall.ed,wall; rival
choreography,chore.o.graphy,chor.us; chore
rift,,raft
politburo,,
mouthpiece,,
phalanx,phal.anx,phall.us; phall.ic
underscore,,underline
hunker,hun.ker,crouch; down; hunk; hunky; hunkey; huckster
felony,felony,there; Elon
amnesty,a.mnes.ty,a.mnes.ia
remission,re.miss.ion,re.miss; inter.mission; re.mit
impunity,impunity,exemption; impugn; acquittal
immunity,,immune
durance,,duration; endure
intern,,
expulsion,,expel
inflict,in.flict,af.flict
deprive,,prive
misdemeanour,mis.demeanour,misdemeanor; demeanour; demeanor
impute,im.pute,com.pute; im.pugn
larceny,,
infringe,,fringe
infraction,in.fract.ion,fract.ion; fract.ure; re.fract.ory; re.fract.ion; in.fr.are.d; infringement; inflict
